iter	Passed	Remaining
0	6	6954
1	12	6103
2	17	5697
3	22	5716
4	28	5652
5	34	5643
6	40	5732
7	45	5693
8	51	5689
9	57	5659
10	62	5637
11	67	5575
12	73	5554
13	78	5546
14	84	5537
15	90	5571
16	96	5555
17	101	5510
18	106	5484
19	112	5530
20	118	5539
21	124	5538
22	129	5515
23	134	5478
24	140	5466
25	145	5449
26	151	5468
27	156	5441
28	161	5404
29	165	5357
30	170	5326
31	177	5366
32	183	5376
33	189	5382
34	196	5414
35	203	5443
36	208	5435
37	214	5436
38	221	5457
39	226	5447
40	232	5442
41	237	5426
42	243	5415
43	248	5399
44	253	5388
45	259	5391
46	266	5403
47	272	5402
48	278	5400
49	283	5385
50	288	5373
51	294	5366
52	300	5362
53	307	5383
54	313	5384
55	319	5383
56	324	5374
57	330	5363
58	335	5350
59	341	5347
60	346	5337
61	352	5328
62	358	5325
63	363	5317
64	368	5298
65	374	5295
66	379	5289
67	383	5253
68	388	5242
69	393	5233
70	399	5227
71	405	5222
72	411	5221
73	416	5211
74	422	5208
75	428	5205
76	433	5196
77	439	5197
78	445	5190
79	451	5189
80	457	5186
81	462	5175
82	467	5170
83	473	5162
84	479	5159
85	485	5163
86	492	5169
87	504	5227
88	509	5215
89	514	5205
90	520	5198
91	526	5192
92	531	5179
93	536	5172
94	542	5163
95	547	5152
96	552	5142
97	558	5138
98	564	5138
99	570	5130
100	576	5131
101	582	5128
102	588	5121
103	593	5114
104	598	5104
105	604	5100
106	610	5092
107	616	5090
108	623	5092
109	629	5096
110	635	5090
111	641	5083
112	646	5071
113	656	5101
114	661	5094
115	667	5088
116	674	5087
117	679	5078
118	685	5076
119	691	5070
120	697	5065
121	702	5056
122	707	5046
123	714	5045
124	719	5037
125	725	5034
126	730	5021
127	737	5026
128	743	5018
129	748	5006
130	753	4999
131	759	4993
132	764	4983
133	769	4974
134	774	4965
135	781	4964
136	786	4955
137	792	4950
138	797	4942
139	804	4942
140	810	4937
141	816	4936
142	822	4927
143	827	4919
144	832	4908
145	838	4901
146	844	4898
147	849	4890
148	855	4888
149	862	4886
150	868	4881
151	873	4873
152	879	4869
153	885	4863
154	890	4854
155	896	4851
156	902	4843
157	911	4856
158	917	4850
159	923	4847
160	928	4839
161	933	4830
162	939	4823
163	944	4816
164	949	4806
165	955	4801
166	960	4792
167	966	4784
168	972	4780
169	977	4773
170	982	4764
171	987	4755
172	994	4752
173	999	4746
174	1005	4739
175	1011	4734
176	1016	4726
177	1019	4706
178	1024	4700
179	1030	4693
180	1036	4690
181	1041	4682
182	1047	4675
183	1052	4667
184	1061	4675
185	1067	4671
186	1072	4664
187	1079	4660
188	1085	4656
189	1091	4653
190	1096	4645
191	1102	4640
192	1108	4635
193	1114	4629
194	1120	4626
195	1126	4620
196	1132	4617
197	1138	4612
198	1144	4606
199	1150	4602
200	1155	4593
201	1161	4587
202	1166	4581
203	1172	4576
204	1178	4571
205	1184	4564
206	1190	4560
207	1196	4555
208	1202	4551
209	1207	4544
210	1213	4537
211	1219	4532
212	1224	4525
213	1230	4521
214	1236	4514
215	1241	4505
216	1247	4499
217	1252	4493
218	1257	4484
219	1263	4478
220	1267	4469
221	1273	4463
222	1279	4457
223	1285	4451
224	1291	4446
225	1296	4441
226	1301	4432
227	1310	4436
228	1315	4428
229	1320	4420
230	1325	4414
231	1331	4408
232	1337	4401
233	1342	4395
234	1348	4391
235	1353	4383
236	1360	4379
237	1365	4371
238	1371	4366
239	1377	4362
240	1383	4357
241	1389	4351
242	1395	4347
243	1402	4344
244	1408	4339
245	1414	4334
246	1420	4329
247	1425	4323
248	1431	4317
249	1436	4310
250	1442	4304
251	1448	4298
252	1454	4293
253	1459	4286
254	1465	4281
255	1470	4274
256	1476	4267
257	1481	4260
258	1486	4254
259	1492	4247
260	1497	4241
261	1503	4234
262	1508	4227
263	1513	4220
264	1519	4214
265	1524	4206
266	1531	4203
267	1536	4197
268	1542	4191
269	1549	4188
270	1555	4183
271	1561	4179
272	1568	4175
273	1573	4170
274	1579	4165
275	1585	4158
276	1591	4153
277	1596	4147
278	1603	4143
279	1608	4137
280	1614	4131
281	1620	4126
282	1626	4120
283	1632	4116
284	1638	4110
285	1644	4104
286	1650	4099
287	1656	4095
288	1662	4090
289	1668	4085
290	1674	4078
291	1679	4072
292	1685	4068
293	1692	4063
294	1698	4058
295	1704	4055
296	1710	4048
297	1716	4043
298	1721	4035
299	1726	4028
300	1731	4021
301	1737	4016
302	1743	4010
303	1749	4004
304	1754	3998
305	1760	3992
306	1765	3986
307	1771	3980
308	1777	3974
309	1782	3968
310	1788	3963
311	1794	3957
312	1800	3950
313	1806	3945
314	1811	3938
315	1816	3932
316	1823	3927
317	1829	3922
318	1834	3915
319	1840	3910
320	1846	3904
321	1851	3898
322	1857	3893
323	1863	3887
324	1869	3881
325	1874	3875
326	1880	3870
327	1885	3863
328	1891	3856
329	1896	3850
330	1902	3845
331	1908	3839
332	1914	3834
333	1919	3827
334	1926	3823
335	1931	3817
336	1936	3809
337	1941	3802
338	1947	3796
339	1952	3789
340	1959	3787
341	1964	3780
342	1970	3774
343	1975	3768
344	1983	3764
345	1988	3758
346	1994	3753
347	2000	3748
348	2007	3743
349	2012	3737
350	2019	3733
351	2024	3727
352	2030	3721
353	2035	3714
354	2041	3708
355	2047	3703
356	2052	3697
357	2058	3691
358	2063	3683
359	2068	3678
360	2073	3670
361	2079	3664
362	2084	3657
363	2090	3652
364	2096	3646
365	2101	3641
366	2107	3634
367	2113	3629
368	2118	3622
369	2124	3617
370	2129	3610
371	2134	3603
372	2139	3595
373	2145	3590
374	2150	3584
375	2156	3578
376	2161	3572
377	2168	3568
378	2173	3561
379	2179	3555
380	2185	3550
381	2190	3543
382	2195	3537
383	2200	3530
384	2205	3523
385	2212	3519
386	2217	3512
387	2223	3506
388	2228	3499
389	2233	3493
390	2239	3487
391	2244	3481
392	2249	3474
393	2254	3468
394	2260	3462
395	2266	3456
396	2271	3450
397	2277	3444
398	2283	3440
399	2289	3434
400	2295	3428
401	2300	3422
402	2305	3415
403	2311	3410
404	2318	3405
405	2323	3399
406	2329	3393
407	2334	3386
408	2339	3381
409	2345	3374
410	2351	3370
411	2357	3364
412	2363	3359
413	2368	3352
414	2374	3346
415	2380	3341
416	2385	3334
417	2390	3329
418	2396	3323
419	2401	3316
420	2407	3310
421	2413	3306
422	2419	3300
423	2425	3295
424	2431	3289
425	2436	3283
426	2442	3277
427	2447	3271
428	2453	3265
429	2460	3261
430	2466	3255
431	2471	3248
432	2476	3242
433	2481	3236
434	2487	3230
435	2492	3224
436	2498	3218
437	2504	3213
438	2509	3207
439	2515	3201
440	2521	3196
441	2527	3190
442	2532	3184
443	2537	3178
444	2544	3173
445	2550	3167
446	2555	3161
447	2560	3155
448	2567	3150
449	2573	3144
450	2579	3139
451	2584	3133
452	2590	3127
453	2595	3121
454	2601	3115
455	2606	3109
456	2611	3103
457	2617	3097
458	2622	3091
459	2627	3084
460	2633	3079
461	2639	3073
462	2644	3066
463	2650	3061
464	2656	3056
465	2661	3050
466	2667	3044
467	2672	3037
468	2678	3032
469	2682	3025
470	2688	3019
471	2694	3013
472	2699	3007
473	2704	3001
474	2711	2996
475	2716	2990
476	2722	2985
477	2728	2979
478	2733	2973
479	2739	2967
480	2747	2964
481	2753	2959
482	2759	2954
483	2765	2947
484	2769	2941
485	2775	2935
486	2782	2930
487	2788	2925
488	2793	2919
489	2798	2912
490	2804	2906
491	2811	2902
492	2816	2896
493	2822	2891
494	2827	2885
495	2833	2879
496	2838	2873
497	2843	2866
498	2849	2860
499	2854	2854
500	2860	2848
501	2865	2842
502	2871	2837
503	2877	2831
504	2882	2825
505	2888	2819
506	2893	2814
507	2899	2808
508	2904	2801
509	2909	2795
510	2915	2789
511	2920	2783
512	2925	2777
513	2931	2771
514	2935	2764
515	2941	2759
516	2947	2753
517	2953	2748
518	2959	2742
519	2966	2737
520	2972	2732
521	2977	2726
522	2983	2720
523	2988	2714
524	2994	2709
525	3001	2704
526	3007	2698
527	3012	2692
528	3017	2686
529	3024	2681
530	3029	2675
531	3036	2670
532	3041	2664
533	3047	2659
534	3052	2653
535	3057	2647
536	3063	2640
537	3068	2634
538	3073	2629
539	3079	2623
540	3084	2617
541	3090	2611
542	3095	2605
543	3101	2599
544	3107	2594
545	3112	2588
546	3118	2582
547	3123	2576
548	3129	2570
549	3134	2564
550	3139	2558
551	3144	2552
552	3150	2546
553	3156	2541
554	3162	2535
555	3167	2529
556	3173	2524
557	3180	2519
558	3185	2513
559	3191	2507
560	3196	2501
561	3201	2495
562	3207	2490
563	3214	2484
564	3219	2478
565	3224	2472
566	3229	2466
567	3234	2460
568	3240	2454
569	3246	2448
570	3251	2443
571	3256	2437
572	3262	2430
573	3267	2424
574	3273	2419
575	3279	2413
576	3284	2407
577	3289	2401
578	3295	2396
579	3300	2389
580	3304	2382
581	3310	2377
582	3316	2372
583	3322	2366
584	3327	2360
585	3333	2355
586	3339	2349
587	3344	2343
588	3349	2337
589	3355	2332
590	3362	2326
591	3367	2320
592	3372	2314
593	3377	2308
594	3382	2302
595	3388	2297
596	3393	2290
597	3398	2284
598	3404	2279
599	3410	2273
600	3415	2267
601	3421	2262
602	3428	2257
603	3433	2251
604	3438	2245
605	3443	2239
606	3449	2233
607	3455	2227
608	3460	2221
609	3465	2215
610	3471	2210
611	3478	2205
612	3484	2199
613	3489	2193
614	3495	2188
615	3501	2182
616	3507	2177
617	3512	2171
618	3519	2166
619	3524	2160
620	3530	2154
621	3536	2148
622	3541	2142
623	3546	2136
624	3551	2131
625	3561	2127
626	3566	2121
627	3571	2115
628	3576	2109
629	3582	2103
630	3587	2097
631	3592	2091
632	3597	2085
633	3602	2079
634	3607	2073
635	3612	2067
636	3617	2061
637	3622	2055
638	3628	2049
639	3634	2044
640	3639	2038
641	3644	2032
642	3650	2026
643	3655	2020
644	3661	2015
645	3666	2009
646	3671	2003
647	3674	1996
648	3678	1989
649	3683	1983
650	3689	1977
651	3694	1972
652	3702	1967
653	3709	1962
654	3715	1956
655	3720	1951
656	3726	1945
657	3732	1939
658	3738	1934
659	3743	1928
660	3749	1922
661	3754	1917
662	3761	1911
663	3766	1906
664	3772	1900
665	3778	1894
666	3784	1889
667	3790	1883
668	3795	1878
669	3801	1872
670	3806	1866
671	3812	1860
672	3818	1855
673	3825	1850
674	3831	1844
675	3836	1838
676	3842	1833
677	3848	1827
678	3854	1822
679	3860	1816
680	3865	1810
681	3871	1805
682	3877	1799
683	3883	1794
684	3889	1788
685	3894	1782
686	3900	1777
687	3906	1771
688	3911	1765
689	3917	1759
690	3923	1754
691	3929	1748
692	3934	1742
693	3940	1737
694	3946	1731
695	3951	1725
696	3958	1720
697	3965	1715
698	3972	1710
699	3977	1704
700	3983	1699
701	3988	1693
702	3993	1687
703	3999	1681
704	4005	1675
705	4010	1670
706	4016	1664
707	4021	1658
708	4027	1652
709	4032	1647
710	4038	1641
711	4044	1636
712	4050	1630
713	4055	1624
714	4061	1618
715	4066	1612
716	4072	1607
717	4077	1601
718	4083	1595
719	4088	1590
720	4094	1584
721	4099	1578
722	4105	1572
723	4110	1567
724	4116	1561
725	4122	1555
726	4128	1550
727	4134	1544
728	4139	1538
729	4145	1533
730	4150	1527
731	4157	1522
732	4163	1516
733	4168	1510
734	4174	1505
735	4179	1499
736	4185	1493
737	4191	1487
738	4197	1482
739	4202	1476
740	4208	1470
741	4214	1465
742	4219	1459
743	4225	1453
744	4230	1448
745	4235	1442
746	4241	1436
747	4246	1430
748	4251	1424
749	4256	1418
750	4262	1413
751	4268	1407
752	4274	1402
753	4279	1396
754	4284	1390
755	4290	1384
756	4295	1378
757	4300	1373
758	4305	1367
759	4311	1361
760	4318	1356
761	4323	1350
762	4328	1344
763	4334	1338
764	4340	1333
765	4345	1327
766	4350	1321
767	4356	1315
768	4362	1310
769	4367	1304
770	4373	1298
771	4378	1293
772	4384	1287
773	4389	1281
774	4396	1276
775	4401	1270
776	4407	1264
777	4412	1259
778	4418	1253
779	4424	1247
780	4429	1242
781	4435	1236
782	4440	1230
783	4444	1224
784	4449	1218
785	4455	1213
786	4461	1207
787	4466	1201
788	4472	1195
789	4477	1190
790	4483	1184
791	4488	1178
792	4493	1172
793	4498	1167
794	4504	1161
795	4510	1155
796	4515	1150
797	4520	1144
798	4525	1138
799	4531	1132
800	4537	1127
801	4543	1121
802	4548	1115
803	4554	1110
804	4560	1104
805	4565	1098
806	4570	1093
807	4575	1087
808	4580	1081
809	4586	1075
810	4591	1070
811	4597	1064
812	4602	1058
813	4608	1053
814	4613	1047
815	4619	1041
816	4625	1036
817	4631	1030
818	4636	1024
819	4641	1018
820	4647	1013
821	4653	1007
822	4659	1002
823	4665	996
824	4671	990
825	4676	985
826	4682	979
827	4687	973
828	4692	968
829	4698	962
830	4703	956
831	4710	951
832	4716	945
833	4721	939
834	4727	934
835	4733	928
836	4739	922
837	4744	917
838	4749	911
839	4755	905
840	4760	900
841	4765	894
842	4770	888
843	4777	882
844	4782	877
845	4787	871
846	4793	865
847	4799	860
848	4805	854
849	4810	848
850	4815	843
851	4821	837
852	4827	831
853	4833	826
854	4838	820
855	4844	815
856	4850	809
857	4855	803
858	4860	797
859	4867	792
860	4872	786
861	4877	780
862	4882	775
863	4887	769
864	4893	763
865	4898	757
866	4904	752
867	4910	746
868	4915	740
869	4920	735
870	4927	729
871	4933	724
872	4939	718
873	4944	712
874	4950	707
875	4957	701
876	4962	696
877	4970	690
878	4975	684
879	4980	679
880	4986	673
881	4991	667
882	4996	662
883	5002	656
884	5008	650
885	5013	645
886	5018	639
887	5023	633
888	5029	627
889	5033	622
890	5040	616
891	5046	610
892	5051	605
893	5056	599
894	5062	593
895	5068	588
896	5075	582
897	5080	577
898	5085	571
899	5090	565
900	5095	559
901	5101	554
902	5106	548
903	5112	542
904	5118	537
905	5123	531
906	5128	525
907	5134	520
908	5139	514
909	5145	508
910	5150	503
911	5156	497
912	5162	491
913	5168	486
914	5173	480
915	5179	474
916	5184	469
917	5190	463
918	5195	457
919	5201	452
920	5206	446
921	5211	440
922	5216	435
923	5222	429
924	5227	423
925	5232	418
926	5238	412
927	5243	406
928	5249	401
929	5254	395
930	5259	389
931	5264	384
932	5270	378
933	5276	372
934	5281	367
935	5287	361
936	5292	355
937	5299	350
938	5304	344
939	5310	338
940	5315	333
941	5321	327
942	5327	322
943	5333	316
944	5338	310
945	5344	305
946	5351	299
947	5357	293
948	5361	288
949	5367	282
950	5372	276
951	5377	271
952	5383	265
953	5388	259
954	5395	254
955	5401	248
956	5407	242
957	5413	237
958	5418	231
959	5423	225
960	5428	220
961	5433	214
962	5438	208
963	5443	203
964	5449	197
965	5454	191
966	5459	186
967	5465	180
968	5471	175
969	5476	169
970	5482	163
971	5487	158
972	5492	152
973	5498	146
974	5503	141
975	5508	135
976	5515	129
977	5520	124
978	5526	118
979	5531	112
980	5536	107
981	5542	101
982	5548	95
983	5554	90
984	5560	84
985	5566	79
986	5571	73
987	5577	67
988	5582	62
989	5588	56
990	5593	50
991	5598	45
992	5604	39
993	5611	33
994	5617	28
995	5623	22
996	5628	16
997	5634	11
998	5640	5
999	5645	0
